,Task,Start,Finish,Status,Amount
171,Change,2018-03-02 00:08:53.000,2018-03-02 00:20:09.000,Change,0.0
172,REF015,2018-03-02 00:20:09.000,2018-03-02 00:21:19.000,FT001,0.0
173,Change,2018-03-02 00:20:09.000,2018-03-02 00:21:19.000,Change,0.0
174,REF015,2018-03-02 00:21:19.000,2018-03-02 00:27:47.000,PR000,23.0
175,Change,2018-03-02 00:21:19.000,2018-03-02 00:27:47.000,Change,0.0
176,REF015,2018-03-02 00:27:47.000,2018-03-02 00:30:43.000,PN020,0.0
177,Change,2018-03-02 00:27:47.000,2018-03-02 00:30:43.000,Change,0.0
178,REF015,2018-03-02 00:30:43.000,2018-03-02 00:55:17.000,PR000,105.0
179,Change,2018-03-02 00:30:43.000,2018-03-02 00:55:17.000,Change,0.0
180,REF015,2018-03-02 00:55:17.000,2018-03-02 00:57:03.000,FT001,0.0
181,Change,2018-03-02 00:55:17.000,2018-03-02 00:57:03.000,Change,0.0
182,REF015,2018-03-02 00:57:03.000,2018-03-02 01:01:51.000,PR000,18.0
183,Change,2018-03-02 00:57:03.000,2018-03-02 01:01:51.000,Change,0.0
184,REF015,2018-03-02 01:01:51.000,2018-03-02 01:03:27.000,FT001,0.0
185,Change,2018-03-02 01:01:51.000,2018-03-02 01:03:27.000,Change,0.0
186,REF015,2018-03-02 01:03:27.000,2018-03-02 01:14:33.000,PR000,45.0
187,Change,2018-03-02 01:03:27.000,2018-03-02 01:14:33.000,Change,0.0
188,REF011,2018-03-02 01:14:33.000,2018-03-02 01:55:30.000,PP006,0.0
189,REF004,2018-03-02 01:14:33.000,2018-03-02 01:55:30.000,PP006,0.0
190,REF011,2018-03-02 01:55:30.000,2018-03-02 02:14:21.000,PN020,0.0
191,REF004,2018-03-02 01:55:30.000,2018-03-02 02:14:21.000,PN020,0.0
192,REF011,2018-03-02 02:14:21.000,2018-03-02 02:15:28.000,PN020,0.0
193,REF004,2018-03-02 02:14:21.000,2018-03-02 02:15:28.000,PN020,0.0
194,REF011,2018-03-02 02:15:28.000,2018-03-02 02:16:27.000,PR000,1.0
195,REF004,2018-03-02 02:15:28.000,2018-03-02 02:16:27.000,PR000,1.0
196,REF011,2018-03-02 02:16:27.000,2018-03-02 02:25:37.000,PN020,0.0
197,REF004,2018-03-02 02:16:27.000,2018-03-02 02:25:37.000,PN020,0.0
198,REF011,2018-03-02 02:25:37.000,2018-03-02 02:28:22.000,PR000,6.0
199,REF004,2018-03-02 02:25:37.000,2018-03-02 02:28:22.000,PR000,6.0
200,REF011,2018-03-02 02:28:22.000,2018-03-02 02:31:52.000,PN027,0.0
201,REF004,2018-03-02 02:28:22.000,2018-03-02 02:31:52.000,PN027,0.0
202,REF011,2018-03-02 02:31:52.000,2018-03-02 02:35:04.000,PR000,6.0
203,REF004,2018-03-02 02:31:52.000,2018-03-02 02:35:04.000,PR000,6.0
204,REF011,2018-03-02 02:35:04.000,2018-03-02 02:37:49.000,PN021,0.0
205,REF004,2018-03-02 02:35:04.000,2018-03-02 02:37:49.000,PN021,0.0
206,REF011,2018-03-02 02:37:49.000,2018-03-02 02:53:07.000,PR000,38.0
207,REF004,2018-03-02 02:37:49.000,2018-03-02 02:53:07.000,PR000,38.0
208,REF011,2018-03-02 02:53:07.000,2018-03-02 04:21:44.000,PN021,0.0
209,REF004,2018-03-02 02:53:07.000,2018-03-02 04:21:44.000,PN021,0.0
210,REF011,2018-03-02 04:21:44.000,2018-03-02 04:45:18.000,PR000,68.0
211,REF004,2018-03-02 04:21:44.000,2018-03-02 04:45:18.000,PR000,68.0
212,REF011,2018-03-02 04:45:18.000,2018-03-02 04:46:00.000,PR000,2.0
213,REF004,2018-03-02 04:45:18.000,2018-03-02 04:46:00.000,PR000,2.0
214,REF011,2018-03-02 04:46:00.000,2018-03-02 05:00:00.000,PR000,44.0
215,REF004,2018-03-02 04:46:00.000,2018-03-02 05:00:00.000,PR000,44.0
216,REF011,2018-03-02 05:00:00.000,2018-03-02 05:12:32.000,PR000,40.0
217,REF004,2018-03-02 05:00:00.000,2018-03-02 05:12:32.000,PR000,40.0
218,REF011,2018-03-02 05:12:32.000,2018-03-02 06:47:42.000,PR000,294.0
219,REF004,2018-03-02 05:12:32.000,2018-03-02 06:47:42.000,PR000,294.0
220,REF011,2018-03-02 06:47:42.000,2018-03-02 06:49:27.000,PN020,0.0
221,REF004,2018-03-02 06:47:42.000,2018-03-02 06:49:27.000,PN020,0.0
222,REF011,2018-03-02 06:49:27.000,2018-03-02 07:09:27.000,PR000,61.0
223,REF004,2018-03-02 06:49:27.000,2018-03-02 07:09:27.000,PR000,61.0
224,REF011,2018-03-02 07:09:27.000,2018-03-02 07:10:48.000,PN020,0.0
225,REF004,2018-03-02 07:09:27.000,2018-03-02 07:10:48.000,PN020,0.0
226,REF011,2018-03-02 07:10:48.000,2018-03-02 07:16:05.000,PR000,15.0
227,REF004,2018-03-02 07:10:48.000,2018-03-02 07:16:05.000,PR000,15.0
228,REF011,2018-03-02 07:16:05.000,2018-03-02 07:17:45.000,PN020,0.0
229,REF004,2018-03-02 07:16:05.000,2018-03-02 07:17:45.000,PN020,0.0
230,REF011,2018-03-02 07:17:45.000,2018-03-02 07:24:00.000,PR000,17.0
231,REF004,2018-03-02 07:17:45.000,2018-03-02 07:24:00.000,PR000,17.0
232,REF011,2018-03-02 07:24:00.000,2018-03-02 07:29:30.000,PN020,0.0
233,REF004,2018-03-02 07:24:00.000,2018-03-02 07:29:30.000,PN020,0.0
234,REF011,2018-03-02 07:29:30.000,2018-03-02 07:30:41.000,PR000,1.0
235,REF004,2018-03-02 07:29:30.000,2018-03-02 07:30:41.000,PR000,1.0
236,REF011,2018-03-02 07:30:41.000,2018-03-02 07:34:05.000,PN020,0.0
237,REF004,2018-03-02 07:30:41.000,2018-03-02 07:34:05.000,PN020,0.0
238,REF011,2018-03-02 07:34:05.000,2018-03-02 08:14:35.000,PR000,125.0
239,REF004,2018-03-02 07:34:05.000,2018-03-02 08:14:35.000,PR000,125.0
240,REF011,2018-03-02 08:14:35.000,2018-03-02 08:15:57.000,PN020,0.0
241,REF004,2018-03-02 08:14:35.000,2018-03-02 08:15:57.000,PN020,0.0
242,REF011,2018-03-02 08:15:57.000,2018-03-02 08:26:53.000,PR000,28.0
243,REF004,2018-03-02 08:15:57.000,2018-03-02 08:26:53.000,PR000,28.0
244,REF011,2018-03-02 08:26:53.000,2018-03-02 08:30:02.000,PN020,0.0
245,REF004,2018-03-02 08:26:53.000,2018-03-02 08:30:02.000,PN020,0.0
246,REF011,2018-03-02 08:30:02.000,2018-03-02 08:31:25.000,PR000,2.0
247,REF004,2018-03-02 08:30:02.000,2018-03-02 08:31:25.000,PR000,2.0
248,REF011,2018-03-02 08:31:25.000,2018-03-02 08:41:11.000,PN023,0.0
249,REF004,2018-03-02 08:31:25.000,2018-03-02 08:41:11.000,PN023,0.0
250,REF011,2018-03-02 08:41:11.000,2018-03-02 08:56:00.000,PR000,45.0
251,REF004,2018-03-02 08:41:11.000,2018-03-02 08:56:00.000,PR000,45.0
252,REF011,2018-03-02 08:56:00.000,2018-03-02 08:59:18.000,PN020,0.0
253,REF004,2018-03-02 08:56:00.000,2018-03-02 08:59:18.000,PN020,0.0
254,REF011,2018-03-02 08:59:18.000,2018-03-02 09:05:21.000,PR000,15.0
255,REF004,2018-03-02 08:59:18.000,2018-03-02 09:05:21.000,PR000,15.0
256,REF011,2018-03-02 09:05:21.000,2018-03-02 09:08:55.000,PN020,0.0
257,REF004,2018-03-02 09:05:21.000,2018-03-02 09:08:55.000,PN020,0.0
258,REF011,2018-03-02 09:08:55.000,2018-03-02 09:09:55.000,PR000,1.0
259,REF004,2018-03-02 09:08:55.000,2018-03-02 09:09:55.000,PR000,1.0
260,REF011,2018-03-02 09:09:55.000,2018-03-02 09:13:39.000,PN020,0.0
261,REF004,2018-03-02 09:09:55.000,2018-03-02 09:13:39.000,PN020,0.0
262,REF011,2018-03-02 09:13:39.000,2018-03-02 09:47:00.000,PR000,101.0
263,REF004,2018-03-02 09:13:39.000,2018-03-02 09:47:00.000,PR000,101.0
264,REF011,2018-03-02 09:47:00.000,2018-03-02 09:48:57.000,PN020,0.0
265,REF004,2018-03-02 09:47:00.000,2018-03-02 09:48:57.000,PN020,0.0
266,REF011,2018-03-02 09:48:57.000,2018-03-02 10:02:53.000,PR000,40.0
267,REF004,2018-03-02 09:48:57.000,2018-03-02 10:02:53.000,PR000,40.0
268,REF011,2018-03-02 10:02:53.000,2018-03-02 10:25:33.000,PN020,0.0
269,REF004,2018-03-02 10:02:53.000,2018-03-02 10:25:33.000,PN020,0.0
270,REF011,2018-03-02 10:25:33.000,2018-03-02 10:30:40.000,PR000,13.0
271,REF004,2018-03-02 10:25:33.000,2018-03-02 10:30:40.000,PR000,13.0
272,REF011,2018-03-02 10:30:40.000,2018-03-02 10:32:38.000,PN020,0.0
273,REF004,2018-03-02 10:30:40.000,2018-03-02 10:32:38.000,PN020,0.0
274,REF011,2018-03-02 10:32:38.000,2018-03-02 11:02:31.000,PR000,91.0
275,REF004,2018-03-02 10:32:38.000,2018-03-02 11:02:31.000,PR000,91.0
276,REF011,2018-03-02 11:02:31.000,2018-03-02 11:06:13.000,PN020,0.0
277,REF004,2018-03-02 11:02:31.000,2018-03-02 11:06:13.000,PN020,0.0
278,REF011,2018-03-02 11:06:13.000,2018-03-02 11:45:34.000,PR000,119.0
279,REF004,2018-03-02 11:06:13.000,2018-03-02 11:45:34.000,PR000,119.0
280,REF011,2018-03-02 11:45:34.000,2018-03-02 11:47:55.000,PN020,0.0
281,REF004,2018-03-02 11:45:34.000,2018-03-02 11:47:55.000,PN020,0.0
282,REF011,2018-03-02 11:47:55.000,2018-03-02 11:53:26.000,PR000,15.0
283,REF004,2018-03-02 11:47:55.000,2018-03-02 11:53:26.000,PR000,15.0
284,REF011,2018-03-02 11:53:26.000,2018-03-02 11:54:49.000,PN020,0.0
285,REF004,2018-03-02 11:53:26.000,2018-03-02 11:54:49.000,PN020,0.0
286,REF011,2018-03-02 11:54:49.000,2018-03-02 12:00:48.000,PR000,16.0
287,REF004,2018-03-02 11:54:49.000,2018-03-02 12:00:48.000,PR000,16.0
288,REF011,2018-03-02 12:00:48.000,2018-03-02 12:06:52.000,PN020,0.0
289,REF004,2018-03-02 12:00:48.000,2018-03-02 12:06:52.000,PN020,0.0
290,REF011,2018-03-02 12:06:52.000,2018-03-02 12:37:18.000,PR000,94.0
291,REF004,2018-03-02 12:06:52.000,2018-03-02 12:37:18.000,PR000,94.0
292,REF011,2018-03-02 12:37:18.000,2018-03-02 12:38:04.000,PN020,0.0
293,REF004,2018-03-02 12:37:18.000,2018-03-02 12:38:04.000,PN020,0.0
294,REF011,2018-03-02 12:38:04.000,2018-03-02 12:44:25.000,PR000,21.0
295,REF004,2018-03-02 12:38:04.000,2018-03-02 12:44:25.000,PR000,21.0
296,REF011,2018-03-02 12:44:25.000,2018-03-02 12:50:27.000,PR000,19.0
297,REF004,2018-03-02 12:44:25.000,2018-03-02 12:50:27.000,PR000,19.0
298,REF011,2018-03-02 12:50:27.000,2018-03-02 12:53:31.000,PR000,9.0
299,REF004,2018-03-02 12:50:27.000,2018-03-02 12:53:31.000,PR000,9.0
300,REF011,2018-03-02 12:53:31.000,2018-03-02 12:54:35.000,PR000,3.0
301,REF004,2018-03-02 12:53:31.000,2018-03-02 12:54:35.000,PR000,3.0
302,REF011,2018-03-02 12:54:35.000,2018-03-02 13:00:00.000,PR000,18.0
303,REF004,2018-03-02 12:54:35.000,2018-03-02 13:00:00.000,PR000,18.0
304,REF011,2018-03-02 13:00:00.000,2018-03-02 15:27:02.000,PR000,458.0
305,REF004,2018-03-02 13:00:00.000,2018-03-02 15:27:02.000,PR000,458.0
306,REF015,2018-03-02 15:27:02.000,2018-03-02 16:20:01.000,PP006,0.0
307,Change,2018-03-02 15:27:02.000,2018-03-02 16:20:01.000,Change,0.0
308,REF015,2018-03-02 16:20:01.000,2018-03-02 16:24:20.000,PN020,0.0
309,Change,2018-03-02 16:20:01.000,2018-03-02 16:24:20.000,Change,0.0
310,REF015,2018-03-02 16:24:20.000,2018-03-02 16:25:19.000,PR000,1.0
311,Change,2018-03-02 16:24:20.000,2018-03-02 16:25:19.000,Change,0.0
312,REF015,2018-03-02 16:25:19.000,2018-03-02 16:28:04.000,PN020,0.0
313,Change,2018-03-02 16:25:19.000,2018-03-02 16:28:04.000,Change,0.0
314,REF015,2018-03-02 16:28:04.000,2018-03-02 16:29:02.000,PR000,1.0
315,Change,2018-03-02 16:28:04.000,2018-03-02 16:29:02.000,Change,0.0
316,REF015,2018-03-02 16:29:02.000,2018-03-02 16:38:05.000,PN020,0.0
317,Change,2018-03-02 16:29:02.000,2018-03-02 16:38:05.000,Change,0.0
318,REF015,2018-03-02 16:38:05.000,2018-03-02 17:12:41.000,PR000,120.0
